,ADMIN0,ADMIN1,year,month,Retail
670,Ethiopia,Somali,2014,5,2.203148692242159
671,Ethiopia,Somali,2014,6,2.2906302924282373
672,Ethiopia,Somali,2014,7,2.411854333256342
673,Ethiopia,Somali,2014,8,2.510422723804124
674,Ethiopia,Somali,2014,9,1.2795094827254982
675,Ethiopia,Somali,2015,1,1.3753186294722644
676,Ethiopia,Somali,2015,10,0.771737178661411
677,Ethiopia,Somali,2015,12,0.6462108197688671
678,Ethiopia,Somali,2015,2,1.104800397999271
679,Ethiopia,Somali,2015,3,1.006997819440117
680,Ethiopia,Somali,2015,5,1.6064282810335888
681,Ethiopia,Somali,2015,7,0.6150292858649886
682,Ethiopia,Somali,2015,9,0.7327338065832074
683,Ethiopia,Somali,2016,1,0.7087649817373125
684,Ethiopia,Somali,2016,10,1.4918402652094334
685,Ethiopia,Somali,2016,11,1.5292745021362064
686,Ethiopia,Somali,2016,12,0.8824189981848509
687,Ethiopia,Somali,2016,2,1.102287927784129
688,Ethiopia,Somali,2016,4,1.9802811880370745
689,Ethiopia,Somali,2016,5,1.7602652960186154
690,Ethiopia,Somali,2016,6,1.9799555069437835
