,ADMIN0,ADMIN1,year,month,Retail,Wholesale
311,Ethiopia,Dire Dawa,2013,10,0.6615514879097654,0.6870147970135724
312,Ethiopia,Dire Dawa,2013,11,0.6796203702084944,0.5438986674563963
313,Ethiopia,Dire Dawa,2013,12,1.071363065332425,0.4854604218693601
314,Ethiopia,Dire Dawa,2013,2,0.5464441594212073,0.4125227091257675
315,Ethiopia,Dire Dawa,2013,3,0.5294164276620746,0.3540479761164743
316,Ethiopia,Dire Dawa,2013,4,0.6968565085233507,0.3540128198979833
317,Ethiopia,Dire Dawa,2013,5,0.6216413373078967,0.37684670708389595
318,Ethiopia,Dire Dawa,2013,6,0.657725355516173,0.41069302221905907
319,Ethiopia,Dire Dawa,2013,7,0.6559975134021937,0.4306344470852658
320,Ethiopia,Dire Dawa,2013,8,0.6679544310018412,0.4823398099218976
321,Ethiopia,Dire Dawa,2013,9,0.6713267554532455,0.5132003433932512
322,Ethiopia,Dire Dawa,2014,1,0.43512836673382727,0.4085220622732499
323,Ethiopia,Dire Dawa,2014,10,0.5089040489099329,0.4041186391472668
324,Ethiopia,Dire Dawa,2014,11,0.48437882468527205,0.41916212696887306
325,Ethiopia,Dire Dawa,2014,12,0.35832795296041864,0.38240122763123985
326,Ethiopia,Dire Dawa,2014,2,0.40512321220220954,0.3628759885930597
327,Ethiopia,Dire Dawa,2014,3,0.44587471480959806,0.3171563783907089
328,Ethiopia,Dire Dawa,2014,4,0.395174595842426,0.2883247609999246
329,Ethiopia,Dire Dawa,2014,5,0.4193305693487531,0.2858237115421449
330,Ethiopia,Dire Dawa,2014,6,0.33633002460891,0.307341297488981
331,Ethiopia,Dire Dawa,2014,7,0.38083742367201295,0.3250238303723491
332,Ethiopia,Dire Dawa,2014,8,0.5264279303072334,0.3541940297926797
333,Ethiopia,Dire Dawa,2014,9,0.2605550058137127,0.3522674140525795
334,Ethiopia,Dire Dawa,2015,1,0.3650195070169971,0.3506601707277486
335,Ethiopia,Dire Dawa,2015,10,0.4023301037208167,0.24688882625517614
336,Ethiopia,Dire Dawa,2015,11,0.3854380060890515,0.21537943721413275
337,Ethiopia,Dire Dawa,2015,12,0.3915928938230581,0.22376839355507058
338,Ethiopia,Dire Dawa,2015,2,0.39602927723074854,0.31321349278125327
339,Ethiopia,Dire Dawa,2015,3,0.39491531165532967,0.2703974495516675
340,Ethiopia,Dire Dawa,2015,4,0.4196069829989848,0.224226197782688
341,Ethiopia,Dire Dawa,2015,5,0.32073163595807075,0.23668417707167336
342,Ethiopia,Dire Dawa,2015,6,0.44606361264741606,0.28332240360410804
343,Ethiopia,Dire Dawa,2015,7,0.3850399231978221,0.3281977071693924
344,Ethiopia,Dire Dawa,2015,8,0.41379965012490644,0.2907603190566494
345,Ethiopia,Dire Dawa,2015,9,0.4041748898881976,0.3124378460865021
