,country,admin1,year,month,battle_cnt,protest_cnt,riot_cnt,explosion_cnt,violence_on_civs_cnt,battle_fatal,protest_fatal,riot_fatal,explosion_fatal,violence_on_civs_fatal
200,Somalia,Galgaduud,2012,11,2,0,0,1,1,1.0,0.0,0.0,1.0,1.0
201,Somalia,Galgaduud,2012,10,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0
202,Somalia,Galgaduud,2012,9,1,1,0,0,1,8.0,0.0,0.0,0.0,1.0
203,Somalia,Galgaduud,2012,8,5,0,0,0,3,9.0,0.0,0.0,0.0,0.0
204,Somalia,Galgaduud,2012,7,3,3,0,0,2,5.0,2.0,0.0,0.0,2.0
205,Somalia,Galgaduud,2012,6,6,0,0,1,3,13.0,0.0,0.0,1.0,3.0
206,Somalia,Galgaduud,2012,5,5,2,0,3,1,2.0,0.0,0.0,6.0,0.0
207,Somalia,Galgaduud,2012,4,7,0,0,1,1,26.0,0.0,0.0,3.0,5.0
208,Somalia,Galgaduud,2012,3,4,0,0,0,2,2.0,0.0,0.0,0.0,2.0
209,Somalia,Galgaduud,2012,2,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
210,Somalia,Galgaduud,2012,1,4,0,0,1,5,13.0,0.0,0.0,0.0,5.0
211,Somalia,Galgaduud,2011,12,6,3,0,0,1,13.0,0.0,0.0,0.0,1.0
212,Somalia,Galgaduud,2011,11,6,0,0,1,0,2.0,0.0,0.0,3.0,0.0
213,Somalia,Galgaduud,2011,10,5,1,0,0,2,82.0,0.0,0.0,0.0,2.0
214,Somalia,Galgaduud,2011,9,2,0,0,2,0,5.0,0.0,0.0,2.0,0.0
215,Somalia,Galgaduud,2011,8,3,0,0,0,5,0.0,0.0,0.0,0.0,8.0
216,Somalia,Galgaduud,2011,7,4,0,0,0,3,32.0,0.0,0.0,0.0,2.0
217,Somalia,Galgaduud,2011,6,3,2,0,0,2,1.0,0.0,0.0,0.0,10.0
218,Somalia,Galgaduud,2011,4,3,0,0,0,1,4.0,0.0,0.0,0.0,1.0
219,Somalia,Galgaduud,2011,3,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
220,Somalia,Galgaduud,2011,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
221,Somalia,Galgaduud,2010,12,1,0,0,0,2,5.0,0.0,0.0,0.0,2.0
222,Somalia,Galgaduud,2010,11,11,2,0,1,1,33.0,0.0,0.0,5.0,1.0
