,ADMIN0,ADMIN1,month,year,CS,tmin_mm,tmax_mm,tavg_mm,prcp_mm,battle_cnt,protest_cnt,riot_cnt,explosion_cnt,violence_on_civs_cnt,battle_fatal,protest_fatal,riot_fatal,explosion_fatal,violence_on_civs_fatal,Retail,pop
113,Ethiopia,Dire Dawa,2.0,2016.0,3.3333333333333335,162.35714285714286,317.0,242.0,144.75,,,,,,,,,,,1.2427701775599227,475000.0
114,Ethiopia,Dire Dawa,10.0,2015.0,3.5,202.1764705882353,354.1904761904762,278.0357142857143,8.75,,,,,,,,,,,1.20699031116245,463000.0
115,Ethiopia,Dire Dawa,10.0,2010.0,2.5,178.66666666666666,340.55555555555554,273.1290322580645,29.666666666666668,,,,,,,,,,,0.995202663880172,407000.0
116,Ethiopia,Dire Dawa,1.0,2010.0,2.0,143.07692307692307,295.3,227.35714285714286,,1.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,1.227969022093979,407000.0
117,Ethiopia,Dire Dawa,10.0,2009.0,2.5,190.1818181818182,338.63157894736844,263.1290322580645,33.833333333333336,,,,,,,,,,,,396000.0
118,Ethiopia,Dire Dawa,10.0,2018.0,2.0,187.5,328.54545454545456,264.5,32.111111111111114,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,475000.0
119,Ethiopia,Dire Dawa,6.0,2017.0,2.3333333333333335,234.1,370.6818181818182,294.92,5.0,,,,,,,,,,,0.3734913884270088,475000.0
120,Ethiopia,Dire Dawa,4.0,2011.0,2.5,204.33333333333334,362.0,286.6333333333333,70.16666666666667,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.8787032281842169,417000.0
121,Ethiopia,Dire Dawa,4.0,2010.0,2.5,205.92307692307693,331.2,264.62068965517244,69.71428571428571,,,,,,,,,,,0.9786936012525174,407000.0
122,Ethiopia,Dire Dawa,2.0,2019.0,1.5,,,,,,,,,,,,,,,,475000.0
123,Ethiopia,Dire Dawa,10.0,2014.0,1.5,176.55,319.5925925925926,247.7741935483871,45.5,,,,,,,,,,,1.5267121467297988,451000.0
124,Ethiopia,Dire Dawa,2.0,2018.0,1.5,173.8095238095238,318.05263157894734,254.9047619047619,36.333333333333336,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.4566945519623761,475000.0
125,Ethiopia,Dire Dawa,1.0,2015.0,1.5,142.2941176470588,290.25,222.3181818181818,,,,,,,,,,,,1.095058521050991,463000.0
126,Ethiopia,Dire Dawa,4.0,2015.0,1.5,200.66666666666666,359.4,281.42857142857144,,,,,,,,,,,,1.2588209489969544,463000.0
127,Ethiopia,Dire Dawa,6.0,2018.0,2.0,233.0,357.0,292.1,6.25,1.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,0.4954336584860252,475000.0
128,Ethiopia,Dire Dawa,7.0,2015.0,2.0,235.75,367.94444444444446,292.4,7.0,,,,,,,,,,,1.1551197695934663,463000.0
