,country,admin1,month,year,CS,pop
379,Ethiopia,Benshangul Gumuz,10.0,2010,1.5,933000.0
380,Ethiopia,Benshangul Gumuz,10.0,2009,2.0,908000.0
381,Ethiopia,Benshangul Gumuz,10.0,2018,2.0,1089000.0
382,Ethiopia,Benshangul Gumuz,6.0,2017,2.2,1089000.0
383,Ethiopia,Benshangul Gumuz,4.0,2011,2.0,958000.0
384,Ethiopia,Benshangul Gumuz,7.0,2014,2.0,1036000.0
385,Ethiopia,Benshangul Gumuz,10.0,2014,1.6666666666666667,1036000.0
386,Ethiopia,Benshangul Gumuz,2.0,2018,2.25,1089000.0
387,Ethiopia,Benshangul Gumuz,1.0,2015,1.6666666666666667,1062000.0
388,Ethiopia,Benshangul Gumuz,4.0,2015,2.0,1062000.0
389,Ethiopia,Benshangul Gumuz,6.0,2018,2.25,1089000.0
390,Ethiopia,Benshangul Gumuz,7.0,2015,2.0,1062000.0
391,Ethiopia,Benshangul Gumuz,10.0,2016,1.6666666666666667,1089000.0
392,Ethiopia,Benshangul Gumuz,10.0,2015,1.6666666666666667,1062000.0
393,Ethiopia,Benshangul Gumuz,10.0,2019,2.6,1089000.0
394,Ethiopia,Benshangul Gumuz,10.0,2017,2.0,1089000.0
395,Ethiopia,Benshangul Gumuz,7.0,2009,2.0,908000.0
396,Ethiopia,Benshangul Gumuz,1.0,2010,1.0,933000.0
397,Ethiopia,Benshangul Gumuz,7.0,2010,2.0,933000.0
398,Ethiopia,Benshangul Gumuz,1.0,2011,1.5,958000.0
399,Ethiopia,Benshangul Gumuz,4.0,2010,1.5,933000.0
400,Ethiopia,Benshangul Gumuz,1.0,2013,2.0,1009000.0
401,Ethiopia,Benshangul Gumuz,7.0,2012,2.25,983000.0
402,Ethiopia,Benshangul Gumuz,4.0,2013,2.0,1009000.0
403,Ethiopia,Benshangul Gumuz,10.0,2013,1.6666666666666667,1009000.0
404,Ethiopia,Benshangul Gumuz,10.0,2011,2.0,958000.0
405,Ethiopia,Benshangul Gumuz,1.0,2014,1.6666666666666667,1036000.0
406,Ethiopia,Benshangul Gumuz,4.0,2014,2.0,1036000.0
407,Ethiopia,Benshangul Gumuz,6.0,2016,2.0,1089000.0
408,Ethiopia,Benshangul Gumuz,7.0,2013,2.0,1009000.0
409,Ethiopia,Benshangul Gumuz,7.0,2011,1.5,958000.0
410,Ethiopia,Benshangul Gumuz,1.0,2012,2.0,983000.0
411,Ethiopia,Benshangul Gumuz,10.0,2012,1.5,983000.0
412,Ethiopia,Benshangul Gumuz,4.0,2012,2.0,983000.0
413,Sudan,Gezira,12.0,2018,1.5,
414,Sudan,Gezira,6.0,2016,1.5,
415,Sudan,Gezira,6.0,2018,1.5,
416,Sudan,Gezira,6.0,2019,1.5,
417,Sudan,Gezira,7.0,2010,1.5,
418,Sudan,Gezira,1.0,2011,1.0,
419,Sudan,Gezira,4.0,2011,1.0,
420,Sudan,Gezira,4.0,2010,1.0,
421,Sudan,Gezira,10.0,2019,1.5,
422,Sudan,Gezira,2.0,2018,1.0,
423,Sudan,Gezira,2.0,2019,1.0,
424,Sudan,Gezira,10.0,2016,1.0,
425,Sudan,Gezira,4.0,2014,1.5,
426,Sudan,Gezira,10.0,2015,1.0,
427,Sudan,Gezira,7.0,2015,1.0,
428,Sudan,Gezira,2.0,2016,1.0,
429,Sudan,Gezira,10.0,2017,1.0,
430,Sudan,Gezira,7.0,2014,1.5,
431,Sudan,Gezira,7.0,2011,1.5,
432,Sudan,Gezira,6.0,2017,1.0,
433,Sudan,Gezira,1.0,2013,1.0,
434,Sudan,Gezira,4.0,2013,1.0,
435,Sudan,Gezira,7.0,2013,1.0,
436,Sudan,Gezira,10.0,2012,1.0,
437,Sudan,Gezira,4.0,2012,1.0,
438,Sudan,Gezira,7.0,2012,1.5,
439,Sudan,Gezira,1.0,2012,1.0,
440,Sudan,Gezira,10.0,2011,1.5,
441,Sudan,Gezira,1.0,2014,1.0,
